desirability_rank,program_id,program_name,campus,n_p1_budget,n_applications_budget,desirability,low_data
1,36634648610,Дизайн,Москва,63,84,0.7116098281461799,False
2,36634212235,Персонология. Консультативная психология и психотерапия,Москва,65,91,0.6820164520736396,False
3,36634184999,Управление пространственным развитием городов,Москва,36,50,0.664652765505955,False
4,36960452806,Психологическое сопровождение в сфере управления здоровьем и благополучием,НИУ ВШЭ - Санкт-Петербург,29,41,0.6445876620064597,False
5,36634400395,Клеточная и молекулярная биотехнология,Москва,26,37,0.6355667041647846,False
6,36704613610,Медиапроизводство и медиааналитика,НИУ ВШЭ - Санкт-Петербург,27,40,0.617338309605768,False
7,36634184189,Химия молекулярных систем и материалов,Москва,15,21,0.6085366644248345,False
8,36704609724,Машинное обучение и анализ данных,НИУ ВШЭ - Санкт-Петербург,30,46,0.6047079514949742,False
9,36704614836,Дизайн,НИУ ВШЭ - Санкт-Петербург,21,34,0.5648482953979119,False
10,36634185339,Управление низкоуглеродным развитием,Москва,8,11,0.5644390011836597,False
11,36985942928,Пространственные данные и прикладная геоаналитика,Москва,10,15,0.5540208642734079,False
12,36704614230,Русская литература в кросс-культурной и интермедиальной перспективах,НИУ ВШЭ - Санкт-Петербург,13,21,0.5434771508092424,False
13,36704614570,Глобальная и региональная история,НИУ ВШЭ - Санкт-Петербург,8,12,0.5384771406604338,False
14,36704611878,Менеджмент в индустрии впечатлений,НИУ ВШЭ - Санкт-Петербург,22,38,0.5384686436357798,False
15,36634670304,Кинопроизводство,Москва,40,72,0.5347014574548826,False
16,36704612152,Современный социальный анализ,НИУ ВШЭ - Санкт-Петербург,11,18,0.5301550851662765,False
17,36634819326,Социальный анализ рынков на цифровых и опросных данных,Москва,12,21,0.5109473940014464,False
18,36704613901,Языковые технологии в бизнесе и образовании,НИУ ВШЭ - Санкт-Петербург,13,23,0.5102786688081711,False
19,36634708593,Государственное и муниципальное управление,Москва,48,92,0.5082221923221123,False
20,36633480989,Математика,Москва,24,45,0.5061477547753219,False
21,36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,50,97,0.5031528137919944,False
22,36923667513,Археологические исследования,Москва,9,16,0.4936496367341525,False
