program_id,program_name,campus,n_budget,n_noisy,noise_share_budget
36633480989,Математика,Москва,45,12,0.26666666666666666
36634047694,Совместная магистратура НИУ ВШЭ и ЦПМ,Москва,30,9,0.3
36634049850,Анализ данных в биологии и медицине,Москва,48,18,0.375
36634106914,Биоинформатика в агробиотехнологиях,Москва,18,10,0.5555555555555556
36634107416,Науки о данных,Москва,120,41,0.3416666666666667
36634109304,Математика машинного обучения,Москва,72,35,0.4861111111111111
36634124446,Информационная безопасность и технологии искусственного интеллекта,Москва,74,28,0.3783783783783784
36634124878,Информационная безопасность в кредитно-финансовой сфере,Москва,46,21,0.45652173913043476
36634128988,Компьютерные системы и сети,Москва,94,45,0.4787234042553192
36634132599,Системная и программная инженерия,Москва,68,29,0.4264705882352941
36634135464,Системное программирование,Москва,56,25,0.44642857142857145
36634163420,Прикладные модели искусственного интеллекта,Москва,87,46,0.5287356321839081
36634168709,Технологии искусственного интеллекта в телекоммуникациях,Москва,35,31,0.8857142857142857
36634178506,Современные компьютерные науки,Москва,112,51,0.45535714285714285
36634183987,Физика,Москва,23,9,0.391304347826087
36634184189,Химия молекулярных систем и материалов,Москва,21,4,0.19047619047619047
36634184999,Управление пространственным развитием городов,Москва,50,10,0.2
36634185339,Управление низкоуглеродным развитием,Москва,11,0,0.0
36634207252,Системный анализ и математические технологии,Москва,75,42,0.56
36634210173,Прикладная социальная психология,Москва,68,21,0.3088235294117647
36634210831,Позитивная психология,Москва,58,19,0.3275862068965517
36634212235,Персонология. Консультативная психология и психотерапия,Москва,91,12,0.13186813186813187
36634229182,"Управление исследованиями, разработками и инновациями в компании",Москва,49,19,0.3877551020408163
36634231345,Управление и экономика здравоохранения,Москва,37,17,0.4594594594594595
36634258902,"Управление в сфере науки, технологий и инноваций",Москва,38,22,0.5789473684210527
36634398922,Прикладная электроника и фотоника,Москва,16,6,0.375
36634399435,Интернет вещей и киберфизические системы,Москва,20,14,0.7
36634400395,Клеточная и молекулярная биотехнология,Москва,37,5,0.13513513513513514
36634423461,Когнитивные науки и технологии: от нейрона к познанию,Москва,29,17,0.5862068965517241
36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,29,18,0.6206896551724138
36634441416,Международная торговая политика,Москва,57,31,0.543859649122807
36634442995,Мировая экономика,Москва,78,46,0.5897435897435898
36634446891,Маркетинг: цифровые технологии и маркетинговые коммуникации,Москва,128,49,0.3828125
36634452450,Международный менеджмент,Москва,123,53,0.43089430894308944
36634479650,Литературное мастерство,Москва,38,7,0.18421052631578946
36634481602,Компьютерная лингвистика,Москва,31,9,0.2903225806451613
36634629125,Теория языка и полевая лингвистика,Москва,14,3,0.21428571428571427
36634647712,Культурные исследования,Москва,37,16,0.43243243243243246
36634648154,История художественной культуры и рынок искусства,Москва,35,12,0.34285714285714286
36634648610,Дизайн,Москва,84,16,0.19047619047619047
36634659756,"Классический и современный Восток: языки, культуры, религии",Москва,27,10,0.37037037037037035
36634668025,Интерактивные медиа и цифровые индустрии,Москва,71,37,0.5211267605633803
36634670304,Кинопроизводство,Москва,72,26,0.3611111111111111
36634680809,Комплексный социальный анализ,Москва,24,13,0.5416666666666666
36634704114,Демография,Москва,20,11,0.55
36634708593,Государственное и муниципальное управление,Москва,92,35,0.3804347826086957
36634718779,Финансовая экономика,Москва,68,35,0.5147058823529411
36634723090,Экономика и экономическая политика,Москва,78,44,0.5641025641025641
36634729389,Статистический анализ в экономике,Москва,53,38,0.7169811320754716
36634731597,Стохастическое моделирование в экономике и финансах,Москва,50,30,0.6
36634741150,Стратегический менеджмент: инвестиции и консалтинг,Москва,95,39,0.4105263157894737
36634743633,Операционная эффективность и производственные системы,Москва,46,21,0.45652173913043476
36634744291,Население и развитие,Москва,16,9,0.5625
36634764938,Стратегическое управление финансами фирмы,Москва,78,33,0.4230769230769231
36634765632,Сравнительные социальные исследования,Москва,19,13,0.6842105263157895
36634766231,Современное частное право,Москва,85,25,0.29411764705882354
36634766800,Публичное право,Москва,59,35,0.5932203389830508
36634767368,Право международной торговли и разрешение споров,Москва,71,38,0.5352112676056338
36634768707,Международные отношения: европейские и азиатские исследования,Москва,89,34,0.38202247191011235
36634770048,Юрист в бизнесе,Москва,94,33,0.35106382978723405
36634770503,Юрист в правосудии,Москва,56,27,0.48214285714285715
36634771142,Цифровое право,Москва,75,27,0.36
36634772526,Сравнительное правоведение и фундаментальный правовой анализ,Москва,41,30,0.7317073170731707
