program_id,program_name,campus,n_applications_budget,n_serious_budget,n_applications_commercial,n_serious_commercial,n_unique_applicants_total,n_applications_total,budget_places,commercial_places,competition_ratio_budget,demand_pressure_budget,no_budget_places,competition_ratio_commercial,no_commercial_places,n_p1_budget,desirability,low_data
36633480989,Математика,Москва,45,33,12,11,48,57,35,10,1.2857142857142858,0.9428571428571428,False,1.2,False,24,0.5061477547753219,False
36634047694,Совместная магистратура НИУ ВШЭ и ЦПМ,Москва,30,21,8,6,31,38,18,5,1.6666666666666667,1.1666666666666667,False,1.6,False,13,0.420398114859673,False
36634049850,Анализ данных в биологии и медицине,Москва,48,30,12,8,50,60,25,10,1.92,1.2,False,1.2,False,23,0.4625316140346554,False
36634106321,Аналитика данных и прикладная статистика,Москва,0,0,55,28,55,55,0,105,,,True,0.5238095238095238,False,,,
36634106914,Биоинформатика в агробиотехнологиях,Москва,18,8,6,4,22,24,15,15,1.2,0.5333333333333333,False,0.4,False,5,0.31386938016546295,False
36634107416,Науки о данных,Москва,120,79,47,17,123,167,36,15,3.3333333333333335,2.1944444444444446,False,3.1333333333333333,False,47,0.3908328437299334,False
36634109304,Математика машинного обучения,Москва,72,37,21,7,74,93,20,10,3.6,1.85,False,2.1,False,17,0.25332520504954387,False
36634122630,Машинное обучение в цифровом продукте,Москва,0,0,54,29,54,54,0,40,,,True,1.35,False,,,
36634122954,Искусственный интеллект в маркетинге и управлении продуктом,Москва,0,0,94,63,94,94,0,250,,,True,0.376,False,,,
36634123413,Исследования и предпринимательство в искусственном интеллекте,Москва,0,0,32,11,32,32,0,40,,,True,0.8,False,,,
36634123785,Искусственный интеллект,Москва,0,0,191,146,191,191,0,500,,,True,0.382,False,,,
36634124446,Информационная безопасность и технологии искусственного интеллекта,Москва,74,44,25,12,79,99,25,5,2.96,1.76,False,5.0,False,30,0.40251541051804285,False
36634124878,Информационная безопасность в кредитно-финансовой сфере,Москва,46,25,11,7,49,57,25,20,1.84,1.0,False,0.55,False,11,0.2638462657259189,False
36634125520,Кибербезопасность,Москва,0,0,100,87,100,100,0,240,,,True,0.4166666666666667,False,,,
36634126891,Инженерия данных,Москва,0,0,64,45,64,64,0,200,,,True,0.32,False,,,
36634128988,Компьютерные системы и сети,Москва,94,49,17,11,95,111,50,5,1.88,0.98,False,3.4,False,30,0.32491540994138257,False
36634132599,Системная и программная инженерия,Москва,68,39,21,9,69,89,25,10,2.72,1.56,False,2.1,False,19,0.29208593038424197,False
36634135464,Системное программирование,Москва,56,31,17,7,56,73,20,5,2.8,1.55,False,3.4,False,12,0.23892330207449022,False
36634149870,Аналитика больших данных,Москва,0,0,180,135,180,180,0,300,,,True,0.6,False,,,
36634163420,Прикладные модели искусственного интеллекта,Москва,87,41,24,6,91,111,20,5,4.35,2.05,False,4.8,False,21,0.2553938393373314,False
36634166805,ЛигалТех,Москва,0,0,42,37,42,42,0,70,,,True,0.6,False,,,
36634168709,Технологии искусственного интеллекта в телекоммуникациях,Москва,35,4,10,1,36,45,20,5,1.75,0.2,False,2.0,False,2,0.12755785973709657,False
36634178506,Современные компьютерные науки,Москва,112,61,33,20,115,145,38,5,2.9473684210526314,1.605263157894737,False,6.6,False,43,0.38365911717440526,False
36634183392,Финансовые технологии и анализ данных,Москва,0,0,59,37,59,59,0,75,,,True,0.7866666666666666,False,,,
36634183987,Физика,Москва,23,14,4,2,24,27,15,20,1.5333333333333334,0.9333333333333333,False,0.2,False,12,0.4797360029834547,False
