program_id,program_name,campus,budget,commercial,total
36634208641,Психоанализ и психоаналитическое бизнес-консультирование,Москва,0,305,305
36634208277,Психоанализ и психоаналитическая психотерапия,Москва,0,300,300
36634123785,Искусственный интеллект,Москва,0,191,191
36634446891,Маркетинг: цифровые технологии и маркетинговые коммуникации,Москва,128,59,187
36634149870,Аналитика больших данных,Москва,0,180,180
36634452450,Международный менеджмент,Москва,123,47,170
36634107416,Науки о данных,Москва,120,47,167
36634770048,Юрист в бизнесе,Москва,94,60,154
36634178506,Современные компьютерные науки,Москва,112,33,145
36634741150,Стратегический менеджмент: инвестиции и консалтинг,Москва,95,45,140
36634766231,Современное частное право,Москва,85,48,133
36634708593,Государственное и муниципальное управление,Москва,92,37,129
36634801233,Финансовые рынки и финансовые институты,Москва,91,35,126
36634768707,Международные отношения: европейские и азиатские исследования,Москва,89,35,124
36634212235,Персонология. Консультативная психология и психотерапия,Москва,91,28,119
36634442995,Мировая экономика,Москва,78,40,118
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,97,19,116
36634128988,Компьютерные системы и сети,Москва,94,17,111
36634163420,Прикладные модели искусственного интеллекта,Москва,87,24,111
36634764938,Стратегическое управление финансами фирмы,Москва,78,33,111
36634771142,Цифровое право,Москва,75,34,109
36634648610,Дизайн,Москва,84,24,108
36634723090,Экономика и экономическая политика,Москва,78,29,107
36634767368,Право международной торговли и разрешение споров,Москва,71,35,106
36635024428,Медиаменеджмент,Москва,76,25,101
36634125520,Кибербезопасность,Москва,0,100,100
36634124446,Информационная безопасность и технологии искусственного интеллекта,Москва,74,25,99
36971513712,Прикладные нейросетевые технологии,Москва,0,99,99
36634668025,Интерактивные медиа и цифровые индустрии,Москва,71,23,94
36634718779,Финансовая экономика,Москва,68,26,94
36634122954,Искусственный интеллект в маркетинге и управлении продуктом,Москва,0,94,94
36634109304,Математика машинного обучения,Москва,72,21,93
36634670304,Кинопроизводство,Москва,72,18,90
36634132599,Системная и программная инженерия,Москва,68,21,89
36634207252,Системный анализ и математические технологии,Москва,75,12,87
36634448375,Международный бизнес,Москва,0,83,83
36634441416,Международная торговая политика,Москва,57,25,82
36634210173,Прикладная социальная психология,Москва,68,13,81
36634809101,Комплаенс и профилактика правовых рисков,Москва,55,25,80
36634766800,Публичное право,Москва,59,20,79
36634397148,Управление цифровым продуктом,Москва,0,77,77
36634444313,Маркетинг - менеджмент,Москва,0,77,77
36704612749,Гражданское и коммерческое право,НИУ ВШЭ - Санкт-Петербург,54,22,76
36634865048,Современная журналистика,Москва,56,19,75
