program_id,program_name,campus,priority,n_budget_applicants,n_commercial_applicants
36704609407,UX-аналитика и проектирование информационных систем,НИУ ВШЭ - Санкт-Петербург,1,8,3
36704609407,UX-аналитика и проектирование информационных систем,НИУ ВШЭ - Санкт-Петербург,2,5,1
36704609407,UX-аналитика и проектирование информационных систем,НИУ ВШЭ - Санкт-Петербург,3,1,1
36704609407,UX-аналитика и проектирование информационных систем,НИУ ВШЭ - Санкт-Петербург,4,2,0
36704609407,UX-аналитика и проектирование информационных систем,НИУ ВШЭ - Санкт-Петербург,5,1,0
36704609407,UX-аналитика и проектирование информационных систем,НИУ ВШЭ - Санкт-Петербург,7,1,0
36704609407,UX-аналитика и проектирование информационных систем,НИУ ВШЭ - Санкт-Петербург,11,1,1
36704609407,UX-аналитика и проектирование информационных систем,НИУ ВШЭ - Санкт-Петербург,12,1,0
36634049850,Анализ данных в биологии и медицине,Москва,1,23,8
36634049850,Анализ данных в биологии и медицине,Москва,2,7,0
36634049850,Анализ данных в биологии и медицине,Москва,3,5,0
36634049850,Анализ данных в биологии и медицине,Москва,4,5,0
36634049850,Анализ данных в биологии и медицине,Москва,5,2,1
36634049850,Анализ данных в биологии и медицине,Москва,6,1,1
36634049850,Анализ данных в биологии и медицине,Москва,7,0,1
36634049850,Анализ данных в биологии и медицине,Москва,8,2,0
36634049850,Анализ данных в биологии и медицине,Москва,10,1,0
36634049850,Анализ данных в биологии и медицине,Москва,13,2,0
36704615400,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,1,1,0
36704615682,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,1,2,0
36704615400,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,2,5,0
36704615682,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,2,4,1
36704615400,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,3,3,0
36704615682,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,3,0,1
36704615400,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,4,1,0
36704615682,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,4,3,2
36704615682,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,5,1,0
36704615400,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,47,1,0
36635146793,Аналитик деловой разведки,Москва,1,10,10
36635146793,Аналитик деловой разведки,Москва,3,2,1
36635146793,Аналитик деловой разведки,Москва,4,1,0
36635146793,Аналитик деловой разведки,Москва,7,2,0
36635146793,Аналитик деловой разведки,Москва,8,1,0
36635146793,Аналитик деловой разведки,Москва,10,3,1
36635146793,Аналитик деловой разведки,Москва,11,0,1
36635146793,Аналитик деловой разведки,Москва,13,1,0
36634149870,Аналитика больших данных,Москва,1,0,93
36634149870,Аналитика больших данных,Москва,2,0,42
36634149870,Аналитика больших данных,Москва,3,0,19
36634149870,Аналитика больших данных,Москва,4,0,9
36634149870,Аналитика больших данных,Москва,5,0,5
36634149870,Аналитика больших данных,Москва,6,0,3
36634149870,Аналитика больших данных,Москва,7,0,6
36634149870,Аналитика больших данных,Москва,9,0,1
36634149870,Аналитика больших данных,Москва,10,0,1
36634149870,Аналитика больших данных,Москва,17,0,1
36704610189,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,1,13,4
36704610468,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,1,18,3
36704610189,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,2,10,5
36704610468,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,2,13,3
36704610189,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,3,14,1
36704610468,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,3,7,1
36704610189,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,4,4,1
36704610468,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,4,4,0
36704610189,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,5,1,0
36704610468,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,5,1,0
36704610189,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,6,1,1
36704610468,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,6,1,0
36704610189,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,7,1,1
36704610468,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,7,0,1
36704610468,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,8,1,0
36704610189,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,12,1,0
36704610468,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,13,0,1
36704610468,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,14,1,0
36704610468,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,35,1,0
36704610189,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,38,1,0
36704610468,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,42,1,0
36634106321,Аналитика данных и прикладная статистика,Москва,1,0,17
36634106321,Аналитика данных и прикладная статистика,Москва,2,0,11
36634106321,Аналитика данных и прикладная статистика,Москва,3,0,7
36634106321,Аналитика данных и прикладная статистика,Москва,4,0,9
36634106321,Аналитика данных и прикладная статистика,Москва,5,0,1
36634106321,Аналитика данных и прикладная статистика,Москва,6,0,1
36634106321,Аналитика данных и прикладная статистика,Москва,7,0,1
36634106321,Аналитика данных и прикладная статистика,Москва,8,0,3
36634106321,Аналитика данных и прикладная статистика,Москва,11,0,1
36634106321,Аналитика данных и прикладная статистика,Москва,14,0,1
36634106321,Аналитика данных и прикладная статистика,Москва,15,0,1
36634106321,Аналитика данных и прикладная статистика,Москва,16,0,1
36634106321,Аналитика данных и прикладная статистика,Москва,21,0,1
36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,1,5,0
36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,2,6,0
36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,3,4,0
36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,4,3,2
36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,5,4,0
36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,6,1,0
36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,7,2,0
36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,9,0,1
36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,10,1,0
36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,12,1,0
36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,14,2,0
36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,22,0,1
36923667513,Археологические исследования,Москва,1,9,1
36923667513,Археологические исследования,Москва,2,2,1
36923667513,Археологические исследования,Москва,3,1,0
36923667513,Археологические исследования,Москва,4,1,0
36923667513,Археологические исследования,Москва,5,1,0
36923667513,Археологические исследования,Москва,6,0,1
36923667513,Археологические исследования,Москва,19,1,0
36923667513,Археологические исследования,Москва,30,1,0
36704622556,Бизнес- и ИТ-архитектура высокотехнологичных компаний,НИУ ВШЭ - Санкт-Петербург,1,16,8
36704622556,Бизнес- и ИТ-архитектура высокотехнологичных компаний,НИУ ВШЭ - Санкт-Петербург,2,8,3
36704622556,Бизнес- и ИТ-архитектура высокотехнологичных компаний,НИУ ВШЭ - Санкт-Петербург,3,2,0
36704622556,Бизнес- и ИТ-архитектура высокотехнологичных компаний,НИУ ВШЭ - Санкт-Петербург,4,6,1
36704622556,Бизнес- и ИТ-архитектура высокотехнологичных компаний,НИУ ВШЭ - Санкт-Петербург,6,1,0
36704622556,Бизнес- и ИТ-архитектура высокотехнологичных компаний,НИУ ВШЭ - Санкт-Петербург,7,1,0
36704622556,Бизнес- и ИТ-архитектура высокотехнологичных компаний,НИУ ВШЭ - Санкт-Петербург,10,2,0
37044276777,Бизнес-аналитика и цифровые решения в финансах,Москва,1,0,18
37044276777,Бизнес-аналитика и цифровые решения в финансах,Москва,2,0,7
37044276777,Бизнес-аналитика и цифровые решения в финансах,Москва,3,0,5
37044276777,Бизнес-аналитика и цифровые решения в финансах,Москва,4,0,3
37044276777,Бизнес-аналитика и цифровые решения в финансах,Москва,6,0,1
37044276777,Бизнес-аналитика и цифровые решения в финансах,Москва,7,0,2
37044276777,Бизнес-аналитика и цифровые решения в финансах,Москва,8,0,1
37044276777,Бизнес-аналитика и цифровые решения в финансах,Москва,9,0,1
37044276777,Бизнес-аналитика и цифровые решения в финансах,Москва,12,0,1
37044276777,Бизнес-аналитика и цифровые решения в финансах,Москва,17,0,1
37044276777,Бизнес-аналитика и цифровые решения в финансах,Москва,24,0,1
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,1,50,5
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,2,15,6
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,3,7,3
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,4,8,1
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,5,4,0
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,6,2,0
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,7,2,1
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,8,3,0
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,9,0,1
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,10,1,0
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,13,1,1
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,14,1,0
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,17,1,0
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,19,1,0
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,23,0,1
36634106914,Биоинформатика в агробиотехнологиях,Москва,1,5,3
36634106914,Биоинформатика в агробиотехнологиях,Москва,2,3,1
36634106914,Биоинформатика в агробиотехнологиях,Москва,3,4,1
36634106914,Биоинформатика в агробиотехнологиях,Москва,4,3,0
36634106914,Биоинформатика в агробиотехнологиях,Москва,7,1,0
36634106914,Биоинформатика в агробиотехнологиях,Москва,8,0,1
36634106914,Биоинформатика в агробиотехнологиях,Москва,10,1,0
36634106914,Биоинформатика в агробиотехнологиях,Москва,15,1,0
37038835786,Бэкенд-разработка и архитектура программных систем,Москва,1,0,34
37038835786,Бэкенд-разработка и архитектура программных систем,Москва,2,0,6
37038835786,Бэкенд-разработка и архитектура программных систем,Москва,3,0,9
37038835786,Бэкенд-разработка и архитектура программных систем,Москва,4,0,2
37038835786,Бэкенд-разработка и архитектура программных систем,Москва,5,0,2
37038835786,Бэкенд-разработка и архитектура программных систем,Москва,6,0,5
37038835786,Бэкенд-разработка и архитектура программных систем,Москва,7,0,2
37038835786,Бэкенд-разработка и архитектура программных систем,Москва,11,0,1
37038835786,Бэкенд-разработка и архитектура программных систем,Москва,12,0,1
37038835786,Бэкенд-разработка и архитектура программных систем,Москва,17,0,1
36704622856,Вычислительная биология и биоинформатика,НИУ ВШЭ - Санкт-Петербург,1,6,3
36704622856,Вычислительная биология и биоинформатика,НИУ ВШЭ - Санкт-Петербург,2,1,1
36704622856,Вычислительная биология и биоинформатика,НИУ ВШЭ - Санкт-Петербург,3,1,1
36704622856,Вычислительная биология и биоинформатика,НИУ ВШЭ - Санкт-Петербург,4,1,0
36704622856,Вычислительная биология и биоинформатика,НИУ ВШЭ - Санкт-Петербург,7,1,0
36704622856,Вычислительная биология и биоинформатика,НИУ ВШЭ - Санкт-Петербург,11,1,0
36704622856,Вычислительная биология и биоинформатика,НИУ ВШЭ - Санкт-Петербург,12,1,0
36704614570,Глобальная и региональная история,НИУ ВШЭ - Санкт-Петербург,1,8,1
36704614570,Глобальная и региональная история,НИУ ВШЭ - Санкт-Петербург,2,2,1
36704614570,Глобальная и региональная история,НИУ ВШЭ - Санкт-Петербург,3,2,0
36704611278,Городское развитие и управление,НИУ ВШЭ - Санкт-Петербург,1,9,3
36704611278,Городское развитие и управление,НИУ ВШЭ - Санкт-Петербург,2,8,0
36704611278,Городское развитие и управление,НИУ ВШЭ - Санкт-Петербург,3,4,2
36704611278,Городское развитие и управление,НИУ ВШЭ - Санкт-Петербург,4,1,0
36704611278,Городское развитие и управление,НИУ ВШЭ - Санкт-Петербург,5,2,0
36704611278,Городское развитие и управление,НИУ ВШЭ - Санкт-Петербург,6,1,1
36704611278,Городское развитие и управление,НИУ ВШЭ - Санкт-Петербург,7,2,0
36704611278,Городское развитие и управление,НИУ ВШЭ - Санкт-Петербург,9,1,0
36704611278,Городское развитие и управление,НИУ ВШЭ - Санкт-Петербург,21,1,0
36704611278,Городское развитие и управление,НИУ ВШЭ - Санкт-Петербург,50,1,0
36634805591,Государственно-конфессиональные отношения. Правовое регулирование деятельности религиозных объединений,Москва,1,5,0
36634805591,Государственно-конфессиональные отношения. Правовое регулирование деятельности религиозных объединений,Москва,2,3,0
36634805591,Государственно-конфессиональные отношения. Правовое регулирование деятельности религиозных объединений,Москва,3,1,0
36634805591,Государственно-конфессиональные отношения. Правовое регулирование деятельности религиозных объединений,Москва,4,2,0
